DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,EXPOSICION_NORMALIZACION_BASE_100,CATEGORIA_EXPOSICION
Liberia           ,50101,41428,68,31,37,8.198757763975156,Medio
Liberia           ,50101,41429,40,21,19,4.720496894409938,Bajo-medio
Liberia           ,50101,41455,175,79,96,21.490683229813666,Alto-medio
Liberia           ,50101,41460,53,31,22,6.3354037267080745,Bajo-medio
Liberia           ,50101,41487,60,28,32,7.204968944099378,Medio
Liberia           ,50101,41489,113,52,61,13.788819875776397,Alto-medio
Liberia           ,50101,41493,130,64,66,15.900621118012422,Alto-medio
Liberia           ,50101,41505,47,23,24,5.590062111801243,Bajo-medio
Liberia           ,50101,41518,129,60,69,15.77639751552795,Alto-medio
Liberia           ,50101,41554,27,15,12,3.1055900621118013,Bajo-medio
Liberia           ,50101,41560,24,10,14,2.732919254658385,Bajo
Liberia           ,50101,41564,30,16,14,3.4782608695652173,Bajo-medio
Liberia           ,50101,41587,44,22,22,5.217391304347826,Bajo-medio
Liberia           ,50101,41590,60,29,31,7.204968944099378,Medio
Liberia           ,50101,41592,64,28,36,7.7018633540372665,Medio
Liberia           ,50101,41599,44,23,21,5.217391304347826,Bajo-medio
Liberia           ,50101,41600,53,32,21,6.3354037267080745,Bajo-medio
Liberia           ,50101,41620,102,51,51,12.422360248447205,Alto-medio
Liberia           ,50101,41647,108,55,53,13.167701863354036,Alto-medio
Liberia           ,50101,41676,56,26,30,6.70807453416149,Medio
Liberia           ,50101,41680,64,31,33,7.7018633540372665,Medio
Liberia           ,50101,41693,33,15,18,3.8509316770186333,Bajo-medio
Liberia           ,50101,41696,12,6,6,1.2422360248447204,Bajo
Liberia           ,50101,41703,48,20,28,5.714285714285714,Bajo-medio
Liberia           ,50101,41716,30,13,17,3.4782608695652173,Bajo-medio
Liberia           ,50101,41726,65,33,32,7.82608695652174,Medio
Liberia           ,50101,41748,68,31,37,8.198757763975156,Medio
Liberia           ,50101,41787,236,110,126,29.068322981366464,Alto
Liberia           ,50101,41797,64,32,32,7.7018633540372665,Medio
Liberia           ,50101,41799,36,14,22,4.22360248447205,Bajo-medio
Liberia           ,50101,41822,126,61,65,15.403726708074533,Alto-medio
Liberia           ,50101,41823,128,58,70,15.65217391304348,Alto-medio
Liberia           ,50101,41848,130,59,71,15.900621118012422,Alto-medio
Liberia           ,50101,41900,86,38,48,10.434782608695652,Medio
Liberia           ,50101,41921,41,17,24,4.84472049689441,Bajo-medio
Liberia           ,50101,41925,54,25,29,6.459627329192546,Medio
