DISTRITO,COD_DIST,UGM,P90_Mean,P90_Dstdev,AMENAZA_LLUVIOSA_NORMALIZACION_BASE_100,CATEGORIA_AMENAZA_LLUVIOSA
Liberia           ,50101,42029,2468.308,3.248,24.874,Bajo Medio
Liberia           ,50101,42035,2394.455,12.372,17.539,Bajo
Liberia           ,50101,42040,2446.694,2.734,22.727,Bajo Medio
Liberia           ,50101,42049,2449.327,0.708,22.989,Bajo Medio
Liberia           ,50101,42064,2494.955,0.725,27.521,Medio
Liberia           ,50101,42067,2519.825,0.0,29.991,Alto Medio
Liberia           ,50101,42074,2501.998,2.47,28.22,Medio
Liberia           ,50101,42090,2513.369,3.004,29.35,Medio
Liberia           ,50101,42157,2521.383,0.687,30.146,Alto Medio
Liberia           ,50101,42158,2579.143,0.789,35.882,Alto Medio
Liberia           ,50101,42169,2458.96,2.501,23.946,Bajo Medio
Liberia           ,50101,42188,2485.652,0.706,26.597,Bajo Medio
Liberia           ,50101,42201,2580.338,3.582,36.001,Alto Medio
Liberia           ,50101,42220,2518.956,0.639,29.905,Medio
Liberia           ,50101,42223,2516.84,0.67,29.694,Medio
Liberia           ,50101,42244,2491.796,2.628,27.207,Medio
Liberia           ,50101,42258,2472.053,0.622,25.246,Bajo Medio
Liberia           ,50101,42271,2511.226,3.072,29.137,Medio
Liberia           ,50101,42275,2507.969,3.695,28.813,Medio
Liberia           ,50101,42283,2507.23,2.52,28.74,Medio
Liberia           ,50101,42287,2569.365,0.795,34.911,Alto Medio
Liberia           ,50101,42316,2486.442,0.57,26.675,Medio
Liberia           ,50101,42337,2521.101,2.656,30.118,Alto Medio
Liberia           ,50101,42341,2483.742,2.659,26.407,Bajo Medio
Liberia           ,50101,42343,2482.597,3.174,26.293,Bajo Medio
Liberia           ,50101,42382,2493.879,3.16,27.414,Medio
Liberia           ,50101,42399,2487.593,2.399,26.79,Medio
Liberia           ,50101,42402,2508.288,0.749,28.845,Medio
Liberia           ,50101,42413,2475.709,2.253,25.609,Bajo Medio
Liberia           ,50101,42436,2484.532,3.561,26.486,Bajo Medio
Liberia           ,50101,42446,2497.216,0.755,27.745,Medio
Liberia           ,50101,42451,2566.137,2.826,34.591,Alto Medio
Liberia           ,50101,42472,2475.734,4.511,25.612,Bajo Medio
Liberia           ,50101,42478,2495.773,0.0,27.602,Medio
Liberia           ,50101,42487,2498.139,2.864,27.837,Medio
Liberia           ,50101,42499,2531.753,2.521,31.176,Alto Medio
Liberia           ,50101,42550,2534.806,0.869,31.479,Alto Medio
Liberia           ,50101,42557,2512.998,0.792,29.313,Medio
Liberia           ,50101,42562,2459.487,0.695,23.998,Bajo Medio
Liberia           ,50101,42566,2491.08,2.267,27.136,Medio
Liberia           ,50101,42574,2519.685,2.491,29.977,Alto Medio
Liberia           ,50101,42577,2515.019,0.641,29.514,Medio
Liberia           ,50101,42594,2495.03,0.0,27.528,Medio
Liberia           ,50101,42596,2457.277,4.358,23.779,Bajo Medio
Liberia           ,50101,42628,2520.745,0.664,30.082,Alto Medio
Liberia           ,50101,42652,2530.716,2.085,31.073,Alto Medio
Liberia           ,50101,42669,2553.976,0.602,33.383,Alto Medio
Liberia           ,50101,42671,2499.288,2.411,27.951,Medio
Liberia           ,50101,42678,2454.973,2.885,23.55,Bajo Medio
Liberia           ,50101,42697,2529.69,3.083,30.971,Alto Medio
Liberia           ,50101,42700,2410.687,2.471,19.151,Bajo
Liberia           ,50101,42707,2495.793,3.547,27.604,Medio
Liberia           ,50101,42716,2542.912,4.96,32.284,Alto Medio
Liberia           ,50101,42749,2471.197,3.13,25.161,Bajo Medio
Liberia           ,50101,42767,2518.924,0.0,29.901,Medio
Liberia           ,50101,42769,2529.218,0.59,30.924,Alto Medio
Liberia           ,50101,42770,2499.469,3.239,27.969,Medio
Liberia           ,50101,42771,2467.856,2.219,24.829,Bajo Medio
Liberia           ,50101,42778,2518.353,0.603,29.845,Medio
Liberia           ,50101,42780,2499.792,2.345,28.001,Medio
Liberia           ,50101,42791,2506.893,0.799,28.706,Medio
Liberia           ,50101,42793,2496.525,2.849,27.677,Medio
Liberia           ,50101,42830,2472.29,3.278,25.27,Bajo Medio
Liberia           ,50101,42833,2545.777,0.829,32.568,Alto Medio
Liberia           ,50101,42836,2526.528,3.801,30.657,Alto Medio
Liberia           ,50101,42857,2263.291,3.577,4.512,Bajo
Liberia           ,50101,42864,2511.433,2.593,29.157,Medio
Liberia           ,50101,42878,2517.087,0.622,29.719,Medio
Liberia           ,50101,42882,2484.699,2.425,26.502,Bajo Medio
Liberia           ,50101,42884,2463.0,2.933,24.347,Bajo Medio
Liberia           ,50101,42925,2476.013,3.739,25.639,Bajo Medio
Liberia           ,50101,42941,2460.766,0.539,24.125,Bajo Medio
Liberia           ,50101,43000,2572.876,0.0,35.26,Alto Medio
Liberia           ,50101,43003,2456.116,2.608,23.663,Bajo Medio
Liberia           ,50101,43006,2497.378,3.333,27.761,Medio
Liberia           ,50101,43013,2485.333,0.574,26.565,Bajo Medio
Liberia           ,50101,43017,2500.357,0.557,28.057,Medio
Liberia           ,50101,43043,2495.097,2.925,27.535,Medio
Liberia           ,50101,43080,2515.593,0.674,29.571,Medio
Liberia           ,50101,43102,2502.821,0.59,28.302,Medio
Liberia           ,50101,43124,2571.732,0.0,35.146,Alto Medio
Liberia           ,50101,43141,2488.721,2.377,26.902,Medio
Liberia           ,50101,43145,2510.363,0.729,29.051,Medio
Liberia           ,50101,43168,2447.221,2.925,22.78,Bajo Medio
Liberia           ,50101,43177,2502.2,0.688,28.24,Medio
Liberia           ,50101,43179,2449.925,2.922,23.048,Bajo Medio
Liberia           ,50101,43181,2468.963,0.794,24.939,Bajo Medio
Liberia           ,50101,43189,2500.645,0.676,28.086,Medio
Liberia           ,50101,43194,2486.913,2.606,26.722,Medio
Liberia           ,50101,43221,2365.135,1.72,14.627,Bajo
Liberia           ,50101,43224,2515.581,2.644,29.569,Medio
Liberia           ,50101,43248,2564.801,2.829,34.458,Alto Medio
Liberia           ,50101,43268,2521.339,2.879,30.141,Alto Medio
Liberia           ,50101,43272,2463.578,2.751,24.404,Bajo Medio
Liberia           ,50101,43278,2483.256,0.552,26.359,Bajo Medio
Liberia           ,50101,43324,2527.16,2.706,30.719,Alto Medio
Liberia           ,50101,43336,2478.275,7.93,25.864,Bajo Medio
Liberia           ,50101,43346,2491.701,0.0,27.198,Medio
Liberia           ,50101,43393,2472.502,3.01,25.291,Bajo Medio
Liberia           ,50101,43403,2570.578,0.0,35.032,Alto Medio
Liberia           ,50101,43438,2413.802,2.494,19.46,Bajo
Liberia           ,50101,43439,2405.154,4.212,18.602,Bajo
Liberia           ,50101,43450,2531.905,2.614,31.191,Alto Medio
Liberia           ,50101,43454,2507.134,2.482,28.73,Medio
Liberia           ,50101,43486,2520.082,2.901,30.016,Alto Medio
Liberia           ,50101,43489,2547.838,3.618,32.773,Alto Medio
Liberia           ,50101,43503,2467.448,0.57,24.789,Bajo Medio
Liberia           ,50101,43513,2416.6,0.594,19.738,Bajo
Liberia           ,50101,43514,2496.442,2.406,27.668,Medio
Liberia           ,50101,43516,2525.844,3.217,30.589,Alto Medio
Liberia           ,50101,43521,2484.329,2.657,26.465,Bajo Medio
Liberia           ,50101,43560,2487.499,0.61,26.78,Medio
Liberia           ,50101,43562,2521.764,2.758,30.183,Alto Medio
Liberia           ,50101,43572,2503.804,3.062,28.4,Medio
Liberia           ,50101,43577,2460.41,4.416,24.09,Bajo Medio
Liberia           ,50101,43584,2491.489,0.672,27.177,Medio
Liberia           ,50101,43586,2462.395,2.757,24.287,Bajo Medio
Liberia           ,50101,43592,2499.579,0.694,27.98,Medio
Liberia           ,50101,43611,2466.77,0.0,24.721,Bajo Medio
Liberia           ,50101,43616,2511.518,3.863,29.166,Medio
Liberia           ,50101,43634,2484.712,3.243,26.503,Bajo Medio
Liberia           ,50101,43653,2465.924,2.149,24.637,Bajo Medio
Liberia           ,50101,43656,2456.538,0.696,23.705,Bajo Medio
Liberia           ,50101,43659,2489.292,0.741,26.958,Medio
Liberia           ,50101,43662,2533.666,4.349,31.366,Alto Medio
Liberia           ,50101,43664,2537.228,2.47,31.719,Alto Medio
Liberia           ,50101,43713,2515.537,6.982,29.565,Medio
Liberia           ,50101,43717,2543.753,3.995,32.367,Alto Medio
Liberia           ,50101,43720,2522.573,0.0,30.264,Alto Medio
Liberia           ,50101,43722,2487.084,0.0,26.739,Medio
Liberia           ,50101,43733,2516.443,2.904,29.655,Medio
Liberia           ,50101,43734,2446.141,0.653,22.672,Bajo Medio
Liberia           ,50101,43763,2587.558,3.384,36.718,Alto
Liberia           ,50101,43767,2496.39,2.435,27.663,Medio
Liberia           ,50101,43771,2537.239,8.184,31.72,Alto Medio
Liberia           ,50101,43795,2446.007,0.663,22.659,Bajo Medio
Liberia           ,50101,43815,2502.593,3.514,28.279,Medio
Liberia           ,50101,43822,2411.125,15.792,19.195,Bajo
Liberia           ,50101,43835,2507.901,2.165,28.807,Medio
Liberia           ,50101,43869,2454.428,3.696,23.496,Bajo Medio
Liberia           ,50101,43874,2448.131,0.872,22.87,Bajo Medio
Liberia           ,50101,43884,2538.931,2.9,31.889,Alto Medio
Liberia           ,50101,43908,2493.884,2.863,27.414,Medio
Liberia           ,50101,43910,2462.566,4.091,24.304,Bajo Medio
Liberia           ,50101,43927,2475.543,2.439,25.593,Bajo Medio
Liberia           ,50101,43950,2446.445,2.059,22.703,Bajo Medio
Liberia           ,50101,43984,2507.835,0.892,28.8,Medio
Liberia           ,50101,43992,2530.589,4.272,31.06,Alto Medio
Liberia           ,50101,44006,2507.875,3.15,28.804,Medio
Liberia           ,50101,44010,2558.385,4.26,33.821,Alto Medio
Liberia           ,50101,44014,2463.336,0.0,24.38,Bajo Medio
Liberia           ,50101,44036,2535.765,3.291,31.574,Alto Medio
Liberia           ,50101,44041,2571.88,0.863,35.161,Alto Medio
Liberia           ,50101,44043,2560.464,10.253,34.027,Alto Medio
Liberia           ,50101,44044,2494.672,3.291,27.493,Medio
Liberia           ,50101,44047,2484.828,0.797,26.515,Bajo Medio
Liberia           ,50101,44063,2488.391,4.651,26.869,Medio
Liberia           ,50101,44081,2476.807,2.257,25.718,Bajo Medio
Liberia           ,50101,44085,2523.761,0.0,30.382,Alto Medio
Liberia           ,50101,44101,2540.543,3.643,32.049,Alto Medio
Liberia           ,50101,44126,2460.128,3.047,24.062,Bajo Medio
Liberia           ,50101,44145,2484.596,0.683,26.492,Bajo Medio
Liberia           ,50101,44161,2489.668,3.092,26.996,Medio
