DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Liberia           ,50101,44895,144,75,69,27.895422714245203,17.63975155279503,69.061,114.59617426704024,32.7347795677382,Alto-medio
Liberia           ,50101,44906,69,35,34,22.027707383492842,8.322981366459627,74.118,104.46868874995246,28.44230687492232,Medio
Liberia           ,50101,44907,242,118,124,29.39973926662059,29.81366459627329,73.906,133.11940386289388,40.58573695383423,Alto
Liberia           ,50101,44938,147,57,90,27.177226639577658,18.012422360248447,72.437,117.6266489998261,34.01922771775565,Alto-medio
Liberia           ,50101,44943,85,39,46,14.063968230358503,10.31055900621118,76.605,100.97952723656968,26.963447142983,Medio
Liberia           ,50101,44985,29,10,19,11.922228391014404,3.354037267080745,78.996,94.27226565809514,24.120615413369812,Bajo-medio
Liberia           ,50101,44986,87,40,47,20.58450471932125,10.559006211180124,74.797,105.94051093050138,29.066129689383736,Alto-medio
Liberia           ,50101,44989,160,74,86,36.901778100251065,19.627329192546583,70.52,127.04910729279764,38.01287894080942,Alto
Liberia           ,50101,44994,142,59,83,17.172735457479114,17.391304347826086,76.797,111.3610398053052,31.363587645404213,Alto-medio
Liberia           ,50101,45011,195,103,92,33.847436715038526,23.975155279503106,72.449,130.27159199454164,39.378709339866916,Alto
Liberia           ,50101,45019,48,19,29,23.653963321856235,5.714285714285714,75.34,104.70824903614195,28.543843034615314,Medio
Liberia           ,50101,45029,118,51,67,9.512244420761878,14.409937888198757,78.041,101.96318230896063,27.380363319289923,Medio
Liberia           ,50101,45030,34,12,22,15.399733637334323,3.9751552795031055,76.968,96.34288891683744,24.998236396412857,Bajo-medio
Liberia           ,50101,45033,69,31,38,17.715517026084264,8.322981366459627,81.464,107.50249839254388,29.72816850603033,Alto-medio
Liberia           ,50101,45045,57,27,30,26.305350608698973,6.832298136645963,73.95,107.08764874534494,29.552337024541536,Alto-medio
Liberia           ,50101,45085,223,113,110,44.03614226345554,27.45341614906832,73.399,144.88855841252388,45.57402100880305,Alto
Liberia           ,50101,45093,20,7,13,24.328526245287602,2.236024844720497,75.799,102.3635510900081,27.550057174373947,Medio
Liberia           ,50101,45095,41,20,21,17.56215973276313,4.84472049689441,78.648,101.05488022965754,26.99538504747132,Medio
Liberia           ,50101,45118,126,61,65,23.076159515776606,15.403726708074533,73.941,112.42088622385114,31.81279705701099,Alto-medio
Liberia           ,50101,45123,47,27,20,15.044026882589383,5.590062111801243,71.73,92.36408899439063,23.31184642444358,Bajo-medio
Liberia           ,50101,45139,311,146,165,33.963178578905676,38.38509316770186,73.983,146.33127174660754,46.185506217018514,Alto
Liberia           ,50101,45220,41,23,18,21.73886801887387,4.84472049689441,77.344,103.92758851576828,28.21296485558366,Medio
Liberia           ,50101,45246,120,63,57,0.0,14.658385093167702,78.415,93.0733850931677,23.612477230578463,Bajo-medio
Liberia           ,50101,45260,64,28,36,11.919543675872456,7.7018633540372665,76.375,95.99640702990972,24.851382171276406,Bajo-medio
Liberia           ,50101,45289,48,16,32,19.995043145907108,5.714285714285714,74.534,100.24332886019283,26.65141397129778,Medio
Liberia           ,50101,45330,118,62,56,17.50206050583969,14.409937888198757,76.069,107.98099839403845,29.930977800248744,Alto-medio
Liberia           ,50101,45357,78,37,41,9.468032234451368,9.440993788819876,76.058,94.96702602327125,24.4150853378676,Bajo-medio
Liberia           ,50101,45363,79,39,40,16.5235862470044,9.565217391304348,76.236,102.32480363830875,27.533634304348116,Medio
Liberia           ,50101,45376,79,35,44,18.519187263867913,9.565217391304348,74.293,102.37740465517227,27.55592892309825,Medio
Liberia           ,50101,45377,65,31,34,12.883072276162602,7.82608695652174,79.194,99.90315923268435,26.507235158645635,Medio
Liberia           ,50101,45384,75,32,43,12.540504331368055,9.06832298136646,75.572,97.18082731273452,25.353391452085994,Medio
